Customer Name (E&P),Sales (C),Quantity (C),Discount (C),Profit (C)
Nicole Hansen,35.82,9,0,11.8206
Russell Applegate,200.064,3,0.2,12.504
Russell Applegate,21.38,5,0.8,-33.139
Russell Applegate,6.744,4,0.8,-11.4648
Arianne Irving,63.686,1,0.3,-9.098
Michael Chen,1669.6,4,0,116.872
Tom Boeckenhauer,83.84,2,0.2,27.248
Tom Boeckenhauer,13.272,3,0.2,4.3134
Victoria Wilson,21.336,7,0.2,7.7343
Paul Lucas,16.52,5,0.2,2.065
Gary Hwang,206.112,6,0.2,48.9516
Gary Hwang,19.92,5,0.2,6.723
Gary Hwang,198.272,8,0.2,61.96
Gary Hwang,247.104,6,0.2,-58.6872
Gary Hwang,86.304,6,0.2,9.7092
Caroline Jumper,4.16,2,0.2,0.364
Caroline Jumper,11.648,2,0.2,3.3488
Mike Caudle,26.18,7,0,0.5236
Mike Caudle,7.3,2,0,3.431
Benjamin Venier,74.352,3,0.2,23.235
Jeremy Farry,10.744,1,0.2,0.8058
Jeremy Farry,8.376,3,0.2,2.7222
Ellis Ballard,212.88,6,0,0
Mike Pelletier,203.983,2,0.15,16.7986
Jim Mitchum,40.74,3,0,0.4074
Jim Mitchum,11.67,3,0,3.0342
Carl Ludwig,39.99,1,0,11.5971
Carl Ludwig,16.28,2,0,6.512
Carl Ludwig,782.94,3,0,203.5644
Carl Ludwig,242.48,7,0,116.3904
Chloris Kastensmidt,8.32,5,0.2,2.288
Chloris Kastensmidt,10.464,6,0.2,1.7004
Deborah Brumfield,82.896,3,0.2,29.0136
Deborah Brumfield,34.24,4,0,16.0928
Pamela Coakley,1573.488,7,0.2,196.686
Victoria Brennan,335.52,4,0.2,117.432
Victoria Brennan,23.912,2,0.8,-40.6504
Victoria Brennan,27.056,2,0.2,2.3674
Emily Phan,559.992,1,0.2,174.9975
Maria Etezadi,9.324,6,0.8,-24.7086
Ivan Gibson,111.96,2,0,54.8604
Joni Sundaresam,21.56,7,0,10.3488
Bobby Odegard,124.75,5,0,57.385
Victoria Wilson,5.28,3,0,1.5312
Aimee Bixby,91.96,4,0,39.5428
Julia West,9.344,1,0.2,3.504
Julia West,79.36,5,0.2,9.92
Jeremy Ellison,171.96,2,0,44.7096
Edward Becker,35.352,9,0.2,12.8151
Paul Knutson,18.9,6,0,9.072
Christopher Schild,2.78,1,0,0.7228
Sheri Gordon,1044.63,5,0.4,-295.9785
Charlotte Melton,11.352,3,0.2,4.1151
Clay Ludtke,354.9,5,0,17.745
Jesus Ocampo,453.576,3,0.2,39.6879
Anthony Witt,21.48,3,0.2,-0.2685
Anthony Witt,8.784,4,0.8,-13.6152
Dianna Vittorini,122.97,3,0,60.2553
Adam Hart,12.84,3,0,3.7236
Sanjit Chand,603.92,5,0.2,-67.941
Sanjit Chand,21.84,3,0,10.4832
Sanjit Chand,29.99,1,0,6.2979
Sanjit Chand,381.44,2,0.2,23.84
Mick Crebagga,40.68,3,0.2,-9.153
Mick Crebagga,763.28,5,0.3,-21.808
Tonja Turnell,23.952,2,0.2,2.3952
Anne Pryor,4.98,1,0,2.4402
Dan Lawera,170.88,3,0,49.5552
Naresj Patel,307.98,2,0,89.3142
Naresj Patel,382.806,9,0.4,-153.1224
Naresj Patel,41.96,2,0,2.9372
Naresj Patel,1217.568,2,0.2,456.588
Naresj Patel,47.04,3,0,18.3456
Naresj Patel,6.16,2,0,2.9568
Naresj Patel,979.95,5,0,274.386
Naresj Patel,143.7,3,0,68.976
Naresj Patel,10.65,3,0,5.0055
Naresj Patel,247.8,4,0,34.692
Vivek Grady,10.96,4,0,2.9592
Muhammed Yedwab,33.488,7,0.2,5.8604
Muhammed Yedwab,8.04,5,0.2,2.9145
Rick Duston,201.568,4,0.2,22.6764
Jeremy Farry,13.44,3,0,6.5856
Dennis Pardue,359.058,3,0.3,-35.9058
Maribeth Dona,47.992,2,0.3,-2.0568
Maribeth Yedwab,547.3,13,0,175.136
Aimee Bixby,16.896,4,0.2,5.28
Aimee Bixby,6.672,1,0.2,0.5004
Aimee Bixby,99.136,4,0.2,8.6744
Aimee Bixby,15.992,2,0.6,-13.993
George Bell,211.96,2,0,42.392
Cynthia Arntzen,6.672,3,0.2,1.668
Max Engle,155.94,6,0,45.2226
Jas O'Carroll,39.96,5,0.2,12.987
Jas O'Carroll,5.46,3,0,1.5288
Jas O'Carroll,73.2,5,0,21.228
Jas O'Carroll,5.84,1,0.2,1.971
Jas O'Carroll,22.72,4,0,10.224
Jas O'Carroll,9.336,3,0.2,3.2676
Marina Lichtenstein,290.666,2,0.15,27.3568
Marina Lichtenstein,201.584,2,0.2,20.1584
Marina Lichtenstein,83.984,2,0.2,31.494
Yana Sorensen,1000.02,7,0,290.0058
Paul Lucas,83.976,3,0.2,-13.6461
Julie Kriz,3.75,1,0,1.8
Julie Kriz,41.4,4,0,19.872
Julie Kriz,29.79,3,0,12.5118
Parhena Norris,59.48,2,0,8.922
Parhena Norris,6.69,1,0,3.0774
Jenna Caffey,198.46,2,0,99.23
Jenna Caffey,786.48,8,0,385.3752
Jenna Caffey,23.168,2,0.2,7.8192
Jenna Caffey,50,2,0,10.5
James Galang,675.96,5,0.2,84.495
James Galang,1265.85,3,0,556.974
Philisse Overcash,523.25,5,0,141.2775
Marc Crier,517.5,6,0,155.25
Alan Shonely,17.92,5,0.2,2.464
Alan Shonely,41.256,6,0.7,-34.38
Clay Ludtke,1006.056,3,0.2,88.0299
Clay Ludtke,10.688,2,0.2,3.7408
Clay Ludtke,10.368,2,0.2,3.6288
Clay Ludtke,25.12,2,0.2,1.57
Clay Ludtke,58.112,2,0.2,7.264
Natalie Webber,15.552,3,0.2,5.4432
Natalie Webber,669.08,5,0.2,-167.27
Natalie Webber,438.336,4,0.2,-87.6672
Toby Braunhardt,19.44,3,0,9.3312
Toby Braunhardt,9.64,2,0,4.4344
Toby Braunhardt,12.7,2,0,5.842
Toby Braunhardt,41.37,3,0,17.3754
Bill Stewart,12.624,2,0.2,3.945
Fred Hopkins,1247.64,3,0,349.3392
Fred Hopkins,3149.93,7,0,1480.4671
Fred Hopkins,209.7,2,0,100.656
Valerie Mitchum,35.36,2,0.2,-3.094
Valerie Mitchum,3.168,2,0.2,-0.7128
Sarah Foster,121.104,6,0.7,-100.92
Sarah Foster,45.894,1,0.4,-9.1788
Hilary Holden,109.92,2,0,53.8608
Hilary Holden,13.36,2,0,6.4128
Christina DeMoss,169.68,6,0,45.8136
Christina DeMoss,132.52,4,0,54.3332
Christina DeMoss,2.96,2,0,1.4208
Christina DeMoss,8.448,2,0.2,2.9568
Christina DeMoss,95.94,3,0,9.594
Hunter Lopez,34.79,7,0,10.7849
Thea Hendricks,160.776,3,0.2,10.0485
Michelle Moray,88.752,3,0.2,27.735
Michelle Moray,13.904,2,0.2,5.214
Quincy Jones,677.58,5,0.4,-158.102
Quincy Jones,13.896,3,0.7,-9.264
Neola Schneider,41.92,5,0.2,3.668
Neola Schneider,297.576,3,0.2,-7.4394
Neola Schneider,4.344,3,0.2,0.8688
Neola Schneider,94.992,2,0.2,-2.3748
Neola Schneider,74.352,3,0.2,23.235
Neola Schneider,14.04,3,0.2,1.5795
Michael Moore,1018.104,4,0.4,-373.3048
Rick Duston,16.68,3,0.2,5.2125
Robert Barroso,58.58,2,0,19.3314
Rob Dowd,167.968,4,0.2,62.988
Shaun Weien,196.62,2,0,96.3438
Sylvia Foulston,21.936,2,0.6,-10.4196
Sylvia Foulston,6.588,3,0.8,-10.2114
Eric Barreto,104.28,3,0,26.07
Eric Barreto,17.94,3,0,8.7906
Sean Braxton,64.784,1,0.2,-14.5764
Sean Braxton,32.382,3,0.4,4.3176
Sean Braxton,42.368,2,0.2,8.4736
Sean Braxton,399.54,4,0.7,-559.356
Pamela Stobb,18.97,1,0,9.1056
Claudia Bergmann,14.82,3,0,6.2244
Damala Kotsonis,99.28,2,0.2,12.41
Damala Kotsonis,1.188,2,0.7,-0.99
Damala Kotsonis,7.518,2,0.7,-5.7638
Anthony Witt,10.368,2,0.2,3.6288
Anthony Witt,310.88,2,0.2,23.316
Troy Staebel,853.092,6,0.4,-227.4912
Herbert Flentye,33.45,5,0,15.387
Herbert Flentye,10.4,5,0,5.096
Henia Zydlo,21.88,5,0.2,6.2905
Alejandro Ballentine,13.616,2,0.2,3.5742
Phillina Ober,63.96,4,0,19.8276
Phillina Ober,14.46,3,0,7.0854
Phillina Ober,104.98,2,0,52.49
Arthur Gainer,106.96,2,0,31.0184
Arthur Gainer,21.56,7,0,10.3488
Steven Cartwright,515.88,6,0,113.4936
Natalie DeCherney,11.808,2,0.2,4.2804
Natalie DeCherney,1931.04,9,0.1,321.84
Natalie DeCherney,9.96,2,0,4.6812
Cynthia Delaney,12.35,5,0,5.8045
Patrick Gardner,9.702,3,0.7,-7.1148
Irene Maddox,11.61,2,0.7,-9.288
Jamie Kunitz,43.86,6,0,20.6142
Jamie Kunitz,148.48,2,0.2,16.704
Jamie Kunitz,7.42,2,0,3.71
Jamie Kunitz,71.992,1,0.2,-0.8999
Jamie Kunitz,19.9,5,0,6.567
Jamie Kunitz,1702.12,14,0,510.636
Jeremy Pistek,14.304,6,0.2,5.0064
Michelle Moray,765.625,7,0.5,-566.5625
Debra Catini,307.666,2,0.15,-14.4784
John Lee,7.712,2,0.2,2.7956
Bradley Nguyen,242.9,5,0,70.441
Bradley Nguyen,454.9,5,0,0
Bradley Nguyen,35.92,4,0,15.0864
Bradley Nguyen,39.76,8,0,12.3256
Bradley Nguyen,47.744,4,0.2,14.92
Katherine Ducich,159.984,2,0.2,11.9988
Katherine Ducich,255.968,4,0.2,51.1936
Katherine Ducich,359.058,3,0.3,-71.8116
Jay Kimmel,434.352,3,0.2,43.4352
Jay Kimmel,3.552,2,0.2,0.444
Jay Kimmel,88.832,4,0.2,7.7728
Filia McAdams,1048.35,5,0.4,-69.89
Christina Anderson,100,4,0,21
Christina Anderson,7.83,3,0,3.6018
Keith Dawkins,96.256,8,0.2,31.2832
Keith Dawkins,10.688,2,0.2,3.7408
Logan Haushalter,338.04,3,0.2,-33.804
Logan Haushalter,154.24,4,0.2,17.352
Anna Gayman,34.848,2,0.2,6.534
Anna Gayman,22,5,0.2,1.375
Anna Gayman,4.368,3,0.2,0.3822
David Bremer,31.44,3,0,8.4888
David Bremer,17.9,2,0,3.401
David Bremer,129.45,5,0,46.602
Emily Ducich,20.88,8,0,9.6048
Mick Crebagga,20.736,4,0.2,7.2576
Mick Crebagga,7.168,2,0.2,0.9856
Mick Crebagga,11.168,2,0.2,-2.5128
Mick Crebagga,442.4,7,0.2,-55.3
Bryan Mills,13.36,2,0,4.9432
Erin Mull,11.232,8,0.7,-8.2368
Erin Mull,10.272,3,0.2,3.21
Dianna Arnett,10.368,2,0.2,3.6288
Dianna Arnett,6.24,3,0.2,0.546
Meg O'Connel,206.962,2,0.3,-32.5226
Joni Wasserman,9.46,2,0,3.6894
Victoria Wilson,559.62,9,0,151.0974
Victoria Wilson,109.92,2,0,53.8608
Victoria Wilson,8.56,2,0,3.852
Tonja Turnell,360.712,11,0.2,130.7581
Tonja Turnell,1718.4,6,0.2,150.36
Sara Luxemburg,41.568,6,0.8,-66.5088
Raymond Messe,46.864,2,0.2,7.6154
Mick Brown,19.536,3,0.2,4.884
Arthur Gainer,411.332,4,0.15,-4.8392
Arthur Gainer,28.752,6,0.2,9.7038
Arthur Gainer,293.199,3,0.15,-20.6964
Max Ludwig,35.06,2,0,10.518
Max Ludwig,4.13,1,0,1.8998
Max Ludwig,109.8,9,0,46.116
Max Ludwig,9.82,2,0,4.8118
Craig Carroll,7.644,4,0.7,-5.8604
Craig Carroll,51.465,5,0.7,-39.4565
Stewart Carmichael,6.976,4,0.2,-1.3952
Stewart Carmichael,12.222,7,0.8,-20.1663
Greg Guthrie,97.984,2,0.2,-24.496
Greg Guthrie,62.4,6,0.2,19.5
Muhammed Yedwab,20.86,2,0,9.387
Muhammed Yedwab,497.61,9,0,129.3786
Muhammed Yedwab,5.34,2,0,1.4952
Muhammed Yedwab,3.15,1,0,1.512
Darren Powers,368.91,9,0,180.7659
Darren Powers,14.7,5,0,6.615
Bryan Davis,59.97,3,0,14.9925
Bryan Davis,83.36,1,0,20.84
Claudia Bergmann,6.58,2,0,3.0268
Claudia Bergmann,122.94,3,0,59.0112
Jim Epp,219.84,4,0,107.7216
Jim Epp,98.16,6,0,9.816
Jim Epp,33.04,8,0,15.5288
Jim Epp,86.97,3,0,25.2213
Roy Phan,134.97,3,0,64.7856
Roy Phan,699.98,2,0,195.9944
Roy Phan,139.95,5,0,26.5905
Russell Applegate,48.94,1,0,24.47
Resi Pölking,2807.84,8,0,673.8816
Resi Pölking,46.64,4,0,12.5928
Thomas Boland,60.416,2,0.2,6.0416
Brad Eason,107.94,3,0,26.985
Mathew Reese,63.84,8,0,16.5984
Mathew Reese,347.97,3,0,100.9113
Mathew Reese,37.008,6,0.2,11.565
Raymond Messe,215.65,5,0,73.321
Jill Fjeld,11.168,4,0.2,3.6296
Jill Fjeld,53.952,3,0.2,17.5344
Adrian Shami,4.18,1,0,1.5048
Joseph Airdo,5.607,1,0.7,-4.2987
Joseph Airdo,4663.736,7,0.2,-1049.3406
Joseph Airdo,79.984,2,0.2,22.9954
Grace Kelly,2575.944,7,0.2,257.5944
Grace Kelly,45.36,7,0,21.7728
Grace Kelly,254.24,7,0,76.272
Phillip Breyer,69.93,7,0,0.6993
Heather Kirkland,16.156,7,0.6,-12.117
Heather Kirkland,54.816,3,0.2,17.8152
Frank Olsen,1441.3,7,0,245.021
Brian Thompson,77.6,5,0.2,28.13
Brian Thompson,4.656,2,0.2,1.5714
Stefania Perrino,170.136,3,0.2,-8.5068
Lauren Leatherbury,7.38,2,0,3.4686
Lauren Leatherbury,9.26,2,0,3.0558
Matt Collins,9.96,2,0,4.5816
Janet Lee,75.6,2,0.8,-166.32
Janet Lee,29.32,2,0.6,-24.189
Erin Ashbrook,92.064,6,0.8,-225.5568
Erin Ashbrook,6.976,4,0.2,1.8312
Erin Ashbrook,62.958,3,0.3,-2.6982
Erin Ashbrook,5.184,1,0.2,1.8144
Sue Ann Reed,31.32,10,0.7,-25.056
Sue Ann Reed,11.84,4,0.2,3.108
Sue Ann Reed,22.784,1,0.2,4.8416
Cathy Hwang,1127.976,3,0.2,126.8973
Neil Ducich,38.88,6,0,18.6624
Bruce Stewart,779.796,2,0.4,-168.9558
Sara Luxemburg,1439.92,8,0,374.3792
Sara Luxemburg,262.11,1,0,62.9064
George Bell,207,3,0.2,25.875
Aaron Smayling,1439.982,3,0.4,-263.9967
Aaron Smayling,36.288,7,0.2,12.7008
Raymond Messe,21.4,5,0,6.206
Nicole Hansen,1245.86,7,0,361.2994
Barbara Fisher,17.544,3,0.2,5.9211
Barbara Fisher,44.128,4,0.2,12.1352
Barbara Fisher,62.92,1,0.2,10.2245
Barbara Fisher,78.304,2,0.2,29.364
Katharine Harms,140.81,1,0,39.4268
Frank Atkinson,40.096,4,0.2,13.5324
Frank Atkinson,40.784,2,0.6,-30.588
Giulietta Weimer,90.57,3,0,11.7741
Dianna Arnett,40.08,6,0,19.2384
Dianna Arnett,37.68,2,0,15.8256
Frank Hawley,362.352,3,0.2,27.1764
Frank Hawley,7.184,2,0.2,2.245
Ralph Kennedy,34.76,1,0,9.7328
Ralph Kennedy,831.2,5,0,124.68
Ralph Kennedy,26.4,5,0,11.88
Ralph Kennedy,106.75,7,0,49.105
Ralph Kennedy,97.82,2,0,45.9754
Ralph Kennedy,141.4,5,0,38.178
Filia McAdams,14.52,3,0,4.7916
Alyssa Crouse,127.92,5,0.2,-15.99
Alyssa Crouse,34.24,4,0.8,-53.072
Jennifer Braxton,137.62,2,0,60.5528
Jennifer Braxton,100.49,1,0,25.1225
Gary McGarr,257.568,2,0.2,-28.9764
Gary McGarr,119.96,4,0,33.5888
Roy Französisch,49.632,4,0.2,4.9632
Noah Childs,727.45,5,0.5,-465.568
Noah Childs,24.96,3,0.2,4.368
Nat Gilpin,370.782,3,0.4,-92.6955
Adam Hart,196.45,5,0,70.722
Cathy Hwang,31.104,6,0.2,10.8864
Cathy Hwang,78.256,2,0.2,-17.6076
Charles Crestani,6.48,1,0,3.1104
Michelle Ellison,99.2,5,0,25.792
Michelle Ellison,801.568,2,0.2,50.098
Michelle Ellison,272.848,1,0.2,27.2848
Benjamin Patterson,70.98,1,0,20.5842
Mark Packer,16.224,2,0.2,5.8812
Caroline Jumper,176.784,1,0.2,-22.098
John Castell,470.376,3,0.2,47.0376
James Galang,393.568,4,0.2,-44.2764
James Galang,302.376,3,0.2,22.6782
Cyma Kinney,68.742,9,0.7,-48.1194
Luke Foster,29.34,3,0,14.67
Luke Foster,383.607,7,0.1,63.9345
Luke Foster,563.4,4,0,67.608
Chuck Clark,217.056,7,0.2,78.6828
Dan Lawera,6,2,0.2,2.1
Paul Gonzalez,31.56,3,0,10.4148
Erica Hernandez,7.104,2,0.2,2.3976
Erica Hernandez,398.352,8,0.7,-331.96
Tracy Blumstein,121.792,4,0.2,13.7016
Tracy Blumstein,409.59,3,0.4,-122.877
Dean Katz,10.56,2,0,4.752
Dean Katz,3.38,1,0,1.2506
Jeremy Pistek,7.824,1,0.2,2.934
Carol Darley,24.784,1,0.2,7.745
Adam Shillingsburg,34.65,3,0,10.395
Jas O'Carroll,487.984,2,0.2,152.495
Amy Cox,1793.98,2,0,843.1706
Ryan Akin,29.808,2,0.2,10.8054
Ryan Akin,505.176,4,0.7,-336.784
Ryan Akin,174.0585,3,0.45,-110.7645
Corey-Lock,191.88,6,0,19.188
Dianna Wilson,14.78,2,0,3.9906
Damala Kotsonis,5.184,1,0.2,1.8144
Damala Kotsonis,478.48,2,0.2,47.848
Damala Kotsonis,28.4,2,0.2,6.745
Michael Dominguez,909.12,8,0,9.0912
Roy Phan,2.952,2,0.7,-2.1648
Roy Phan,27.018,6,0.7,-21.6144
Rick Wilson,136.92,4,0,41.076
Duane Benoit,18.96,2,0,8.532
Stewart Carmichael,99.39,3,0,40.7499
Frank Hawley,273.896,7,0.2,92.4399
Frank Hawley,597.132,3,0.4,49.761
Erica Hackney,149.95,5,0,65.978
Ann Steele,4.608,2,0.2,1.6704
Ann Steele,15.528,3,0.2,4.8525
Ann Steele,11.952,3,0.2,3.8844
Helen Abelman,11.65,5,0,3.3785
Cathy Hwang,299.9,2,0,74.975
Edward Hooks,895.92,5,0.2,302.373
Edward Hooks,462.564,2,0.1,97.6524
Mary Zewe,15.008,2,0.2,1.5008
Scot Coram,863.64,9,0.2,107.955
Scot Coram,47.616,3,0.2,3.5712
Naresj Patel,92.94,3,0,41.823
Lindsay Williams,199.98,2,0,69.993
Greg Matthias,177.48,3,0.2,19.9665
Rick Hansen,88.768,2,0.2,31.0688
Valerie Mitchum,6.48,1,0,3.1104
Valerie Mitchum,46.51,1,0,1.8604
Valerie Mitchum,659.976,3,0.2,49.4982
Craig Carreira,271.992,1,0.2,23.7993
Seth Vernon,145.74,3,0,23.3184
Seth Vernon,15.4,5,0,7.392
Lindsay Williams,244.55,5,0,114.9385
Lindsay Williams,166.16,8,0,59.8176
Nora Pelletier,14.73,3,0,4.8609
Joe Elijah,19.968,2,0.7,-13.312
Joe Elijah,33.488,7,0.2,-1.2558
Joe Elijah,8.736,4,0.7,-6.1152
Joe Elijah,662.88,3,0.2,74.574
Cathy Prescott,47.36,4,0.2,17.76
Cathy Prescott,27.44,2,0.2,2.401
Cathy Prescott,3.24,9,0.8,-5.184
Erin Ashbrook,95.968,4,0.2,26.3912
Erin Ashbrook,10.368,2,0.2,3.6288
Ann Chong,23.1,2,0,6.468
Ann Chong,11.54,2,0,3.462
Ann Chong,254.526,1,0.4,-93.3262
Ann Chong,12.98,1,0,3.7642
Ann Chong,26.432,8,0.2,8.9208
Ann Chong,197.97,3,0,57.4113
Ann Chong,18.9,6,0,9.072
Ann Chong,1282.41,5,0.1,213.735
Ann Chong,4.92,3,0,2.214
Ann Chong,238,2,0,38.08
Ann Chong,167.97,3,0,40.3128
Ann Chong,17.12,4,0,7.704
Robert Waldorf,16.2,3,0,7.776
Robert Waldorf,33.99,3,0,14.6157
Robert Waldorf,296.85,5,0,53.433
Robert Waldorf,112.8,6,0,6.768
Robert Waldorf,13.71,3,0,6.5808
Robert Waldorf,24.9,5,0,11.703
Robert Waldorf,286.29,3,0,17.1774
Robert Waldorf,24.18,2,0,7.254
Dean Braden,281.97,3,0,78.9516
Dean Braden,69.5,5,0,20.155
Dean Braden,166.44,3,0,79.8912
Bill Donatelli,291.96,4,0,102.186
Max Ludwig,6.408,3,0.2,0.6408
Max Ludwig,408.744,7,0.2,76.6395
Joy Daniels,5.104,4,0.8,-8.6768
Joy Daniels,2.896,2,0.2,0.4706
Joy Daniels,35.016,3,0.2,-2.1885
Alan Schoenberger,275.97,3,0,11.0388
Alan Schoenberger,1394.95,5,0,362.687
Alan Schoenberger,545.88,6,0,70.9644
Allen Armold,5.248,2,0.2,0.5904
Kean Takahito,933.536,4,0.2,105.0228
Kean Takahito,42.976,4,0.2,4.2976
Muhammed MacIntyre,3.76,2,0,1.8048
Nathan Gelder,479.96,4,0,134.3888
Laurel Workman,320.88,6,0,93.0552
Laurel Workman,23.88,3,0,10.5072
Laurel Workman,26.76,4,0,12.3096
Christy Brittain,1439.976,4,0.4,191.9968
Adam Shillingsburg,17.22,3,0,7.9212
Adam Shillingsburg,1024.38,7,0,215.1198
Adam Shillingsburg,26.22,3,0,12.3234
Adam Shillingsburg,17.34,3,0,8.4966
Christy Brittain,4.956,4,0.7,-3.7996
Max Ludwig,71.04,6,0.2,26.64
Max Ludwig,5.344,2,0.2,0.7348
Max Ludwig,11.304,3,0.2,-2.1195
Joy Smith,294.62,5,0.8,-766.012
Joy Smith,8.752,4,0.6,-3.7196
Neil Ducich,15,4,0,7.2
Neil Ducich,161.61,1,0,42.0186
Neil Ducich,144.95,5,0,42.0355
Luke Weiss,199.95,5,0,21.9945
Luke Weiss,41.86,7,0,14.2324
Joni Wasserman,95.94,3,0,9.594
Joni Wasserman,304.45,5,0,76.1125
Sample Company A,11.364,3,0.8,-17.046
Rob Williams,29.68,7,0,11.5752
Rob Williams,47.53,7,0,16.1602
Charlotte Melton,183.372,2,0.3,-36.6744
Jamie Frazer,4.224,3,0.2,0.4752
Jamie Frazer,333.056,2,0.2,29.1424
Jamie Frazer,24.896,4,0.2,7.78
Stuart Calhoun,159.984,2,0.2,35.9964
Stuart Calhoun,46.344,3,0.2,4.6344
Anne McFarland,350.98,1,0,84.2352
Anne McFarland,13.08,2,0,6.0168
Anne McFarland,900.08,4,0,117.0104
Berenike Kampe,17.568,2,0.2,6.3684
Berenike Kampe,14.62,2,0,6.8714
Berenike Kampe,33.36,4,0,8.6736
Berenike Kampe,40.14,6,0,19.6686
Rick Huthwaite,1606.23,9,0,481.869
Rick Huthwaite,17.04,3,0,7.668
Rick Huthwaite,49.53,3,0,23.7744
Rick Huthwaite,872.32,4,0,244.2496
Gene McClure,239.12,5,0.2,77.714
Marc Crier,141.96,2,0,39.7488
Valerie Mitchum,33.024,2,0.2,11.5584
Valerie Mitchum,67.136,4,0.2,23.4976
Guy Phonely,14.73,3,0,6.9231
Guy Phonely,104.9,5,0,25.176
Guy Phonely,61.04,4,0,30.52
Guy Phonely,10.95,3,0,5.1465
George Bell,9.392,2,0.2,3.2872
George Bell,9.328,1,0.2,0.8162
Carol Triggs,8.26,2,0,3.8822
Carol Triggs,269.97,3,0,51.2943
Carl Weiss,29.04,3,0,13.9392
Carl Weiss,14.62,2,0,6.8714
Skye Norling,11.952,3,0.2,4.3326
Skye Norling,4.536,7,0.7,-3.3264
Skye Norling,9.156,2,0.7,-6.104
Skye Norling,75.36,5,0.2,20.724
Ed Braxton,57.504,6,0.2,20.1264
Jane Waco,38.864,7,0.2,7.7728
Ken Black,15.552,3,0.2,5.4432
Matt Collister,162.64,2,0,45.5392
Matt Collister,597,3,0,280.59
Matt Collister,55.48,1,0,26.6304
Clytie Kelty,289.8,7,0.2,36.225
Clytie Kelty,2.502,3,0.7,-2.0016
Clytie Kelty,6.48,4,0.7,-4.752
Clytie Kelty,341.488,8,0.3,-73.176
Clytie Kelty,11.12,5,0.2,0.834
Clytie Kelty,25.344,6,0.2,3.4848
Rick Duston,17.31,3,0,5.193
Theone Pippenger,199.95,5,0,63.984
Theone Pippenger,1586.69,7,0,412.5394
Theone Pippenger,84.99,1,0,30.5964
Theone Pippenger,411.8,2,0,70.006
Greg Guthrie,11.34,3,0,5.2164
Greg Guthrie,80.3,5,0,20.878
Greg Guthrie,15.968,2,0.2,5.3892
Greg Guthrie,64.74,13,0,30.4278
Greg Guthrie,19.296,3,0.2,6.03
Greg Guthrie,405.64,4,0,12.1692
Greg Guthrie,146.352,3,0.2,-9.147
Greg Guthrie,251.91,9,0,47.8629
Greg Guthrie,12.39,3,0,3.717
Zuschuss Carroll,199.96,4,0,69.986
Zuschuss Carroll,710.832,3,0.2,-97.7394
Corey Catlett,1.941,1,0.7,-1.294
Kelly Andreada,283.92,5,0.2,-46.137
Tamara Chand,7.312,2,0.2,2.5592
Deborah Brumfield,59.97,3,0,13.7931
Deborah Brumfield,761.544,7,0.2,66.6351
Toby Ritter,58.2,3,0,28.518
Bart Folk,39.9,5,0,19.95
Bart Folk,90.86,7,0,26.3494
Bart Folk,94.85,5,0,45.528
Maribeth Schnelling,106.232,7,0.2,37.1812
Maribeth Schnelling,111.984,2,0.2,11.1984
Maribeth Schnelling,7.712,2,0.2,1.7352
Clytie Kelty,37.44,6,0,16.848
Emily Ducich,23.68,2,0.2,8.88
Irene Maddox,122.12,4,0,56.1752
Irene Maddox,18.45,5,0,8.6715
Irene Maddox,324.9,5,0,38.988
Irene Maddox,146.73,3,0,68.9631
Irene Maddox,3.96,2,0,1.4652
Maribeth Yedwab,5.76,2,0,2.6496
Magdelene Morse,26.55,3,0,13.0095
Magdelene Morse,310.443,3,0.3,-48.7839
Mark Packer,479.9,5,0,81.583
Anthony Witt,12.88,1,0,0.3864
Sandra Flanagan,13.12,5,0.2,1.476
Steve Nguyen,511.84,8,0,240.5648
Steve Nguyen,91.96,4,0,25.7488
Steve Nguyen,8.34,3,0,2.1684
Ruben Dartt,37.68,3,0.2,2.355
Ruben Dartt,279.944,7,0.2,80.4839
Kean Thornton,636.408,3,0.2,-15.9102
Kean Thornton,83.168,4,0.2,9.3564
Adrian Hane,259.136,4,0.2,-25.9136
Brian Moss,221.92,4,0,106.5216
Brian Moss,26,2,0,11.7
Ben Wallace,15.552,3,0.2,5.4432
Henry Goldwyn,0.876,1,0.8,-1.4016
Sandra Glassco,19.98,1,0,9.3906
Sandra Glassco,398.352,3,0.2,124.485
Sandra Glassco,5.04,3,0,1.26
Sandra Glassco,17.45,5,0,8.027
Sandra Glassco,323.136,4,0.2,20.196
Sandra Glassco,29.7,3,0,8.019
Sandra Glassco,1295.84,4,0.2,145.782
Sandra Glassco,46.84,2,0,12.6468
Sandra Glassco,425.833,1,0.15,20.0392
Ralph Kennedy,209.67,1,0.4,-13.978
Scot Wooten,159.88,7,0,73.5448
Rob Williams,5.28,1,0,2.376
Rob Williams,895.92,5,0.2,302.373
Thais Sissman,2.808,3,0.7,-1.9656
Jennifer Braxton,215.976,3,0.2,-2.6997
Erica Hernandez,241.96,2,0,41.1332
Erica Hernandez,27.72,9,0,13.3056
Erica Hernandez,104.68,5,0.2,35.3295
Erica Hernandez,62.958,7,0.4,9.4437
Brian Stugart,86.376,3,0.2,1.0797
Julie Kriz,64.944,3,0.2,6.4944
Julie Kriz,20.736,4,0.2,7.2576
Randy Ferguson,33.28,4,0,9.3184
Randy Ferguson,38.52,9,0,11.9412
Randy Ferguson,139.86,7,0,60.1398
